"","p1","p2","alpha","xi","n","rd","seed","logbf","pm_alpha","pm_xi","chisq_stat","chisq_pvalue"
"1",1,2,0,0.333333333333333,10,10,1,1.84687699212653,0.0805069731474883,0.310936624759409,6.79999999999999,0.0785531598367983
"2",2,2,0.0833333333333333,0.166666666666667,100,100,88,4.86061000240642,0.0911906797500443,0.153465685141305,14.84,0.00504483580523041
"3",0,1,0.166666666666667,0.166666666666667,1000,100,75,14.2257262936855,0.154519181461404,0.335598392652952,Inf,0
"4",2,2,0.166666666666667,0.333333333333333,100,100,53,4.63781711240307,0.0785516573178516,0.363029840754642,6.64,0.156180233177481
"5",1,1,0.0833333333333333,0.166666666666667,10,10,18,3.44541751209197,0.0777445234459221,0.33363358599194,0.4,0.818730753077982
"6",2,2,0.166666666666667,0.166666666666667,100,100,9,3.83393706911357,0.111578389431212,0.0760561152561907,36.46,2.32697050834472e-07
"7",0,2,0.166666666666667,0.333333333333333,100,100,39,8.46932715016703,0.0911184157881863,0.129538422299816,15.5,0.000430742540575689
"8",0,2,0.0833333333333333,0.333333333333333,10,10,62,3.5578030155914,0.0815038739120624,0.350826640866719,0.2,0.90483741803596
"9",0,1,0.166666666666667,0,1000,10,50,12.4252185896412,0.146233674223941,0.334836781976872,Inf,0
"10",1,1,0.0833333333333333,0.166666666666667,100,10,99,7.28683752873715,0.0512572832685714,0.340885162829021,Inf,0
"11",1,1,0,0.166666666666667,10,100,71,3.82732441045293,0.0839348642029876,0.33570095617603,1.2,0.548811636094026
"12",1,1,0,0.333333333333333,100,10,57,7.68011015265117,0.07235429124252,0.331955187320171,Inf,0
"13",2,2,0.0833333333333333,0.333333333333333,1000,100,73,8.71895564324404,0.0789180261645087,0.351054477426301,19.843,0.000536326909793685
"14",1,2,0,0.333333333333333,100,10,85,4.41054842082676,0.0678865940240071,0.551807758862556,Inf,0
"15",1,1,0.0833333333333333,0.333333333333333,1000,10,62,11.9610702572934,0.065233953455269,0.336627387192799,Inf,0
"16",2,2,0.0833333333333333,0.333333333333333,100,100,6,6.21074156733249,0.0844898717595995,0.239728377371496,5.34499999999999,0.253693769570543
"17",1,2,0.0833333333333333,0,10,100,83,2.72115041285748,0.082829608373242,0.306487154004134,2.48,0.478916376817431
"18",1,1,0.0833333333333333,0.333333333333333,10,100,3,3.48354047541695,0.0750951321684175,0.325539760089254,1.2,0.548811636094026
"19",0,2,0.166666666666667,0.166666666666667,100,100,41,8.71043747036651,0.0938028829964806,0.123795441926976,17.6,0.000150733075095477
"20",0,2,0.0833333333333333,0.166666666666667,1000,10,29,12.1108256951511,0.0803895963118185,0.203129710791396,Inf,0
"21",1,2,0,0.333333333333333,10,100,13,3.32968725947989,0.0790707756091446,0.413025248948084,1.04,0.791574393075928
"22",2,2,0.166666666666667,0,10,100,5,3.180970643732,0.075075882038128,0.51164588249207,2.05,0.726562842447052
"23",0,1,0,0.166666666666667,100,10,78,9.40985543424685,0.0821344746176137,0.340579032239047,Inf,0
"24",2,2,0.0833333333333333,0.333333333333333,1000,10,61,8.4320724789518,0.0807317650971566,0.246109092555965,98.7244999999999,1.83802889807498e-20
"25",2,2,0.0833333333333333,0.166666666666667,100,10,29,3.66490262526773,0.0889196211468008,0.180715149797525,21.73,0.000226807910014375
"26",2,2,0,0.166666666666667,10,100,6,2.47548269437024,0.0878469582871691,0.25517148292659,2.65,0.617991879881755
"27",0,2,0,0.166666666666667,1000,100,26,14.8959831879015,0.0813826968923875,0.261335992457335,Inf,0
